WKT,InputID,TargetID,Distance
"MULTIPOINT ((-71.661999 -35.432349),(-71.590064 -35.752269))",TALCA,YERBAS BUENAS,36089.2779585082
"MULTIPOINT ((-71.661999 -35.432349),(-71.596878 -35.366472))",PANGUILEMO,TALCA,9402.9929764762
"MULTIPOINT ((-71.596878 -35.366472),(-71.564319 -35.447493))",PANGUILEMO,HUILQUILEMU,9463.13234467297
"MULTIPOINT ((-72.412391 -35.335426),(-71.596878 -35.366472))",PANGUILEMO,CONSTITUCION,74207.2047214158
"MULTIPOINT ((-72.333641 -35.427048),(-71.596878 -35.366472))",PANGUILEMO,SANTA OLGA,67267.9007653496
"MULTIPOINT ((-72.494926 -35.469452),(-71.596878 -35.366472))",PANGUILEMO,LOS PELLINES,82358.1726656067
"MULTIPOINT ((-72.020157 -35.096149),(-71.596878 -35.366472))",PANGUILEMO,CUREPTO,48827.3396914133
"MULTIPOINT ((-72.281394 -35.592119),(-71.596878 -35.366472))",PANGUILEMO,EMPEDRADO,66976.4337605078
"MULTIPOINT ((-71.695315 -35.520942),(-71.596878 -35.366472))",PANGUILEMO,MAULE,19328.6261181998
"MULTIPOINT ((-71.692287 -35.458094),(-71.596878 -35.366472))",PANGUILEMO,CULENAR,13357.7394257465
"MULTIPOINT ((-71.702888 -35.449764),(-71.596878 -35.366472))",PANGUILEMO,VILLA FRANCIA,13346.1011708287
"MULTIPOINT ((-71.688501 -35.498226),(-71.596878 -35.366472))",PANGUILEMO,CHACARILLAS,16819.7309246369
"MULTIPOINT ((-71.596878 -35.366472),(-71.446951 -35.383887))",PANGUILEMO,PELARCO,13760.1237529639
"MULTIPOINT ((-71.807382 -35.392217),(-71.596878 -35.366472))",PANGUILEMO,PENCAHUE,19339.5103764808
"MULTIPOINT ((-71.596878 -35.366472),(-71.256893 -35.281664))",PANGUILEMO,CUMPEO,32313.9372146331
"MULTIPOINT ((-71.596878 -35.366472),(-71.487841 -35.534572))",PANGUILEMO,SAN CLEMENTE,21114.6797476007
"MULTIPOINT ((-71.596878 -35.366472),(-71.523429 -35.309681))",PANGUILEMO,SAN RAFAEL,9180.76991683921
"MULTIPOINT ((-72.320012 -35.966937),(-71.596878 -35.366472))",PANGUILEMO,CAUQUENES,93409.5602150227
"MULTIPOINT ((-72.534301 -35.737503),(-71.596878 -35.366472))",PANGUILEMO,CHANCO,94440.5677763659
"MULTIPOINT ((-72.576705 -35.815496),(-71.596878 -35.366472))",PANGUILEMO,PELLUHUE,101818.801799589
"MULTIPOINT ((-72.708459 -35.937406),(-71.596878 -35.366472))",PANGUILEMO,QUILICURA,118934.718322311
"MULTIPOINT ((-71.596878 -35.366472),(-71.240234 -34.978782))",PANGUILEMO,CURICO,53902.9460008896
"MULTIPOINT ((-71.596878 -35.366472),(-71.197073 -34.940164))",PANGUILEMO,SARMIENTO,59699.1667921824
"MULTIPOINT ((-71.596878 -35.366472),(-71.331099 -34.936378))",PANGUILEMO,VILLA LOS NICHES,53509.9332645397
"MULTIPOINT ((-71.596878 -35.366472),(-71.10015 -34.96288))",PANGUILEMO,SAN ALBERTO,63661.737587763
"MULTIPOINT ((-71.803596 -34.974238),(-71.596878 -35.366472))",PANGUILEMO,HUALA�E,47415.8477641243
"MULTIPOINT ((-71.984569 -34.984839),(-71.596878 -35.366472))",PANGUILEMO,LICANTEN,55134.8591910017
"MULTIPOINT ((-72.186743 -34.946222),(-71.596878 -35.366472))",PANGUILEMO,ILOCA,71149.7551451187
"MULTIPOINT ((-71.596878 -35.366472),(-71.283395 -35.115836))",PANGUILEMO,MOLINA,39841.5767601756
"MULTIPOINT ((-71.596878 -35.366472),(-71.358358 -35.137795))",PANGUILEMO,ITAHUE UNO,33389.556291221
"MULTIPOINT ((-71.596878 -35.366472),(-71.318226 -34.924263))",PANGUILEMO,RAUCO,55241.8969572968
"MULTIPOINT ((-71.596878 -35.366472),(-71.133468 -34.961366))",PANGUILEMO,ROMERAL,61663.6345068047
"MULTIPOINT ((-71.596878 -35.366472),(-71.332613 -35.004527))",PANGUILEMO,SAGRADA  FAMILIA,46816.8652339262
"MULTIPOINT ((-71.606722 -35.090848),(-71.596878 -35.366472))",PANGUILEMO,VILLA PRAT,30592.168784377
"MULTIPOINT ((-71.596878 -35.366472),(-71.166785 -34.871258))",PANGUILEMO,TENO,67494.4175993295
"MULTIPOINT ((-72.082248 -34.762977),(-71.596878 -35.366472))",PANGUILEMO,LLICO,80266.9424979239
"MULTIPOINT ((-71.993655 -34.881859),(-71.596878 -35.366472))",PANGUILEMO,LAGO VICHUQUEN,64796.4612058561
"MULTIPOINT ((-71.596878 -35.366472),(-71.590821 -35.84957))",PANGUILEMO,LINARES,53603.3796027597
"MULTIPOINT ((-71.596878 -35.366472),(-71.501471 -35.828368))",PANGUILEMO,VARA GRUESA,51972.2407462737
"MULTIPOINT ((-71.684715 -35.848055),(-71.596878 -35.366472))",PANGUILEMO,LAS OBRAS,54021.9434627399
"MULTIPOINT ((-71.596878 -35.366472),(-71.405305 -35.695857))",PANGUILEMO,COLBUN,40465.2756020376
"MULTIPOINT ((-71.596878 -35.366472),(-71.417421 -35.760219))",PANGUILEMO,PANIMAVIDA,46617.633761585
"MULTIPOINT ((-71.683957 -35.966937),(-71.596878 -35.366472))",PANGUILEMO,LONGAVI,67088.1788613065
"MULTIPOINT ((-71.826312 -36.146395),(-71.596878 -35.366472))",PANGUILEMO,PARRAL,88988.8762553562
"MULTIPOINT ((-71.760435 -36.052501),(-71.596878 -35.366472))",PANGUILEMO,RETIRO,77542.9982240476
"MULTIPOINT ((-71.802082 -36.092633),(-71.596878 -35.366472))",PANGUILEMO,COPIHUE,82681.5844544859
"MULTIPOINT ((-71.73204 -35.592498),(-71.596878 -35.366472))",PANGUILEMO,SAN JAVIER,27916.651566494
"MULTIPOINT ((-71.699102 -35.561074),(-71.596878 -35.366472))",PANGUILEMO,BOBADILLA,23500.3210239585
"MULTIPOINT ((-71.744913 -35.674655),(-71.596878 -35.366472))",PANGUILEMO,VILLA ALEGRE,36734.9920288757
"MULTIPOINT ((-71.596878 -35.366472),(-71.590064 -35.752269))",PANGUILEMO,YERBAS BUENAS,42808.9647749419
"MULTIPOINT ((-71.661999 -35.432349),(-71.564319 -35.447493))",HUILQUILEMU,TALCA,9026.79220959109
"MULTIPOINT ((-71.596878 -35.366472),(-71.564319 -35.447493))",HUILQUILEMU,PANGUILEMO,9463.13234467285
"MULTIPOINT ((-72.412391 -35.335426),(-71.564319 -35.447493))",HUILQUILEMU,CONSTITUCION,78044.9429243967
"MULTIPOINT ((-72.333641 -35.427048),(-71.564319 -35.447493))",HUILQUILEMU,SANTA OLGA,69890.9845906393
"MULTIPOINT ((-72.494926 -35.469452),(-71.564319 -35.447493))",HUILQUILEMU,LOS PELLINES,84511.6526665001
"MULTIPOINT ((-72.020157 -35.096149),(-71.564319 -35.447493))",HUILQUILEMU,CUREPTO,56917.1818204761
"MULTIPOINT ((-72.281394 -35.592119),(-71.564319 -35.447493))",HUILQUILEMU,EMPEDRADO,66993.6935220663
"MULTIPOINT ((-71.695315 -35.520942),(-71.564319 -35.447493))",HUILQUILEMU,MAULE,14412.534298196
"MULTIPOINT ((-71.692287 -35.458094),(-71.564319 -35.447493))",HUILQUILEMU,CULENAR,11676.6348113983
"MULTIPOINT ((-71.702888 -35.449764),(-71.564319 -35.447493))",HUILQUILEMU,VILLA FRANCIA,12582.8026494024
"MULTIPOINT ((-71.688501 -35.498226),(-71.564319 -35.447493))",HUILQUILEMU,CHACARILLAS,12598.132405863
"MULTIPOINT ((-71.564319 -35.447493),(-71.446951 -35.383887))",HUILQUILEMU,PELARCO,12784.0938574175
"MULTIPOINT ((-71.807382 -35.392217),(-71.564319 -35.447493))",HUILQUILEMU,PENCAHUE,22910.8983420552
"MULTIPOINT ((-71.564319 -35.447493),(-71.256893 -35.281664))",HUILQUILEMU,CUMPEO,33452.9458778156
"MULTIPOINT ((-71.564319 -35.447493),(-71.487841 -35.534572))",HUILQUILEMU,SAN CLEMENTE,11895.3735732226
"MULTIPOINT ((-71.564319 -35.447493),(-71.523429 -35.309681))",HUILQUILEMU,SAN RAFAEL,15734.8645826956
"MULTIPOINT ((-72.320012 -35.966937),(-71.564319 -35.447493))",HUILQUILEMU,CAUQUENES,89433.6580097452
